Artist	Title	Lyric
Dua Lipa	Drunken Kiss	unreleased
Dua Lipa	Blame	lyrics for this song have not yet been released please come back once they have been released
Dua Lipa	Roses & Fire	snippet oh in my heart i know we might be sharing time i lost my mind they say
Dua Lipa	Look So Good	unreleased
Dua Lipa	Hooligan	unreleased
Dua Lipa	Down Boys	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Set Myself On Fire	unreleased
Dua Lipa	Drinking	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Guilty	lyrics from snippet guilty we could blame it on timing if that just
Dua Lipa	Worst Enemy	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Good Things	lyrics to snippet    you were for me right now right now right now haaah
Dua Lipa	Just Friends	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Six Feet Under	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Firestarter	unreleased
Dua Lipa	Already Gone	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Complicated	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Beautiful Nothing	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Emergency	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Runaway Child	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	You Boy	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Requiem Lights	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Too Cool	unreleased
Dua Lipa	That Girl At The Party	unreleased
Dua Lipa	Someone You’re Not	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	I Can’t Save You	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Hotter Than Hell (Studio Tour Version)	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	On My Own	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	You the One	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	I Was Like	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Remember Me	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Super Villain	lyrics for this song have yet to be released please check back once the song has been released
Dua Lipa	Future Nostalgia [Female Alpha Remix]	the lyrics for this song have yet to be transcribed
Dua Lipa	Throw Away The Key (Lion)	lyrics from snippet  throw away the key ooh i think i'm
Dua Lipa	Say My Name (Demo)	unleakedunreleased song
Dua Lipa	Full Moon	lyrics for this song haven't released check back later when the lyrics release
Dua Lipa	Future Nostalgia (Jon Goddard Remix)	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	​you	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	I’ve Heard It Both Ways	lyrics will be available upon release stay tuned
Ariana Grande	The Way It Is	tba
Ariana Grande	Called My Mind*	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	New York Live	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Woman Races*	ariii  kim
Ariana Grande	My Sugar Coated Yeti	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Confused	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Topless	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Far Away	released in 09
Ariana Grande	Butterfly*	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Shut It Down	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	All i want	lyrics from snippet  all i want is love all i need is love from you from you
Ariana Grande	Honesty	snippet  dont talk back feel the honesty
Ariana Grande	Close Friends	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Unknown	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Indica	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Could Be Us	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Spent It	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Hei	hei
Ariana Grande	Untitled*	know my love infinite nothing that i wont do
Ariana Grande	Shhh	shhh baby before u get aroused
Ariana Grande	Sniffer Dogs	no lyrics to be found come back soon when there is some
Ariana Grande	Had it all*	lyrics for this song have yet to be released please check back once the song has been released
Ariana Grande	Love Boy	love boy yeah you such a love boy
Ariana Grande	Magic*	come back soon when there is lyrics
Ariana Grande	Venuss*	no lyrics for this song come back soon
Drake	Outro	drake are we done  40 i dont know are we pops champagne  piano
Drake	Superstar	will be available when released as second single from certified lover boy
Drake	Unfortunate*	lyrics from snippet  unfortunate i think you notice something missing but you never say shit
Drake	Milk	drake i love milkin
Drake	30 Hours (Reference)	lyrics are unreleased
Drake	Untitled DaBaby Collaboration*	lyrics for this song have yet to be released please check back once the song has been released
Drake	Concentrate*	lyrics from snippet   all i gotta do is put my mind to this shit i like all my exes
Drake	Pure Evil*	lyrics from snippet   woo yeah
Drake	Minnesota Excellence	and tell ajhani i'm not dropping the album
Drake	Blue Team	drake
Drake	Rape	i love rape
Drake	Cool*	lyrics for this song have yet to be released please check back once the song has been released
Drake	Love From a Distance	man i used to look up to you how could you do this to me
Drake	Dementia	what am i doing what am i doing no seriously what am i doing and how did i get here who am i
BTS (방탄소년단)	Graduation Song (졸업)	transcription doubleup an error has occurred
BTS (방탄소년단)	OUTRO: The Journey	distorted vocals from your eyes tell
BTS (방탄소년단)	Interlude: 뭐해 (What Are You Doing Now)	방탄소년단의 interlude 뭐해  가사  뭐해  뭐해  뭐해
BTS (방탄소년단)	INTRO	wake up
Billie Eilish	​if you want me	i'll do you what you ask me if you let me be free  if you want me satisfy me
Billie Eilish	​underneath*	lyrics from snippet i'm underneath looking out just out of reach but it makes me slur my speech
Billie Eilish	Winner	lyrics for this song have yet to be released please check back once the song has been released
Billie Eilish	Shady*	lyrics from snippet strange boy you're acting shady
Billie Eilish	​guess*	lyrics from snippet can you guess what i'm thinking of
Billie Eilish	Vertigo	let's take a ride downtown
Billie Eilish	‎let me know	lyrics for this song have yet to be released please check back once the song has been released
Billie Eilish	​born blue	lyrics for this song have yet to be released please check back once the song has been released
Cardi B	Sooner	lyrics for this song have yet to be released please check back once the song has been released
Cardi B	Earthquake*	shake earthquake wheezy outta here
Cardi B	PAYOLA	payola
Eminem	Rhyme Time With Eminem	i put my orange 4 inch door hinge in storage and ate porridge with george
Eminem	Three Headed Monster*	lyrics for this song have yet to be released please check back once the song has been released
Eminem	Killer (Original)	lyrics for this song have yet to be released please check back once the song has been released
Eminem	Keys To The City	unreleased
Eminem	Freestyle (Attitude)	verse it's fun for me just to grab a boob plus my penis gotta attitude
Eminem	Cannon for nick	your invitation went to my junk mail
Eminem	Billie Eilish	delete
Eminem	#hot16challenge2	lyrics for this song have yet to be released please check back once the song has been released
Eminem	Poopity scoopity	delete
Eminem	Basket Case Freestyle	unfinished
Eminem	NOT KEYS TO THE CITY	u
Eminem	My Πame is	eminem my name is eminem   dr dre no it's not your name your name is marshall mathers asshole
Eminem	So Bad (Remix)	unavailable
Eminem	One Chance	izbrišite ovo majmuni ovo ne postoji
Eminem	The Murderous Shady	lyrics will be added when the album come out
Eminem	Kill Em’ All	lyrics for this song have yet to be released please check back once the song has been released
Eminem	Holy fucking shit..... *Punches drywall*	you couldn't impress me if you were elvis presley drinkin' a pepsi with jeffery epstein
Lady Gaga	Tinnitus (Tonight Is Us)	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Up*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Maren	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Acid Wash Girls	i am fashion music groove baby i was made to move i am fashion music groove baby i was made to move
Lady Gaga	Alone Now	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Feels So Good*	lyrics from snippet  well why does it feel so good
Lady Gaga	Chances*	the full lyrics of the song will be available soon
Lady Gaga	Krypton Girl*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Fetish*	am i your fetish
Lady Gaga	Heiress	wanna be damn it's good to be rich and famous it's like a heiress
Lady Gaga	Charlotte Nights	charlotte nights is a unreleased song written by lady gaga during the monster ball tour
Lady Gaga	Odyssey*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Blush & A Tiara*	nothing some blush and a tiara won't fix
Lady Gaga	Lost Children	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Frankenstein*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Room In My Heart	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	N M N	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Scared of Me	there are no official lyrics for this song at the moment
Lady Gaga	Metropolis	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Crystal Paint	her tinted globe is a crystal its not artificial but its beneficial through it she can view you
Lady Gaga	PowerBottom	i'm a powerbottom i like to be underneath i'm a powerbottom i like to take control like a man
Lady Gaga	Talk 2 Me*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Paradise	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Candy Art	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Fabulesque	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Cut The Cake	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	ROOM 06	lyrics will be provided at release
Lady Gaga	Devastated	soon
Lady Gaga	Plastic man	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Searching*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Sophie Produced Song	she confirmed she had a song with sophie but never came out since chromatica released
Lady Gaga	Funky Beat*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Miss It B4 You Kiss It	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Power	tba
Lady Gaga	Weather Man*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Royal Treatment	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Lady Stones	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	TRACK1	insert
Lady Gaga	To Be Announced	to be announced soon
Lady Gaga	Stupid Love (The Blessed Madonna Remix)*	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Old days, glory days	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Good for us	tba
Lady Gaga	Rabies (Rumored)	i can be cool
Lady Gaga	Exodus	lyrics for this song have yet to be released please check back once the song has been released
Lady Gaga	Galera	lyrics for this song have yet to be released please check back once the song has been released
